num_cities,density,alpha,beta,baseline_cost,solution_cost,improvement_percent,time_taken_sec,errors
50,0.1,0.1,0.1,266.51,148.87,44.14,2.10,-
50,0.1,0.1,1,2280.92,2252.51,1.25,2.38,-
50,0.1,0.1,2,52132.42,3743.01,92.82,9.62,-
50,0.1,0.1,5,2205641360.87,2877.44,100.00,9.07,-
50,0.1,1,0.1,311.41,178.00,42.84,2.03,-
50,0.1,1,1,21971.20,21942.78,0.13,2.40,-
50,0.1,1,2,5204023.63,37423.97,99.28,11.42,-
50,0.1,1,5,220564126776120.97,28594.95,100.00,8.21,-
50,0.1,2,0.1,327.08,178.62,45.39,1.96,-
50,0.1,2,1,43849.28,43820.87,0.06,2.28,-
50,0.1,2,2,20815815.20,74835.20,99.64,8.97,-
50,0.1,2,5,7058052056832986.00,57349.11,100.00,32.29,-
50,0.1,5,0.1,349.53,200.49,42.64,2.22,-
50,0.1,5,1,109483.53,109455.12,0.03,2.66,-
50,0.1,5,2,130098356.19,201884.45,99.84,128.49,-
50,0.1,5,5,689262896175087360.00,330606.97,100.00,634.82,-
50,0.2,0.1,0.1,185.77,116.83,37.11,2.33,-
50,0.2,0.1,1,1338.08,1325.46,0.94,2.34,-
50,0.2,0.1,2,26290.50,1908.11,92.74,7.74,-
50,0.2,0.1,5,844266213.26,1388.58,100.00,7.75,-
50,0.2,1,0.1,219.96,134.44,38.88,2.05,-
50,0.2,1,1,12897.33,12885.36,0.09,2.48,-
50,0.2,1,2,2623731.82,19078.27,99.27,8.30,-
50,0.2,1,5,84426615954550.19,13826.12,100.00,9.17,-
50,0.2,2,0.1,231.90,142.35,38.62,1.90,-
50,0.2,2,1,25740.94,25728.97,0.05,2.35,-
50,0.2,2,2,10494766.15,38147.87,99.64,8.17,-
50,0.2,2,5,2701651710543940.00,27681.77,100.00,17.10,-
50,0.2,5,0.1,248.99,154.01,38.15,1.97,-
50,0.2,5,1,64271.77,64259.81,0.02,2.45,-
50,0.2,5,2,65592006.41,100768.30,99.85,20.23,-
50,0.2,5,5,263833174857801504.00,117040.70,100.00,169.71,-
50,0.5,0.1,0.1,136.21,91.48,32.84,2.22,-
50,0.5,0.1,1,975.37,966.27,0.93,2.31,-
50,0.5,0.1,2,18799.41,1236.37,93.42,8.72,-
50,0.5,0.1,5,416802734.68,827.06,100.00,8.78,-
50,0.5,1,0.1,161.55,108.34,32.94,1.96,-
50,0.5,1,1,9408.58,9399.76,0.09,2.34,-
50,0.5,1,2,1876144.04,12356.03,99.34,11.01,-
50,0.5,1,5,41680269632719.91,8194.87,100.00,10.24,-
50,0.5,2,0.1,170.39,114.27,32.94,2.05,-
50,0.5,2,1,18778.81,18769.99,0.05,2.33,-
50,0.5,2,2,7504461.10,24804.35,99.67,17.85,-
50,0.5,2,5,1333768628245848.50,16391.11,100.00,10.80,-
50,0.5,5,0.1,183.06,122.82,32.91,2.12,-
50,0.5,5,1,46889.49,46880.67,0.02,2.38,-
50,0.5,5,2,46902680.52,62966.59,99.87,102.38,-
50,0.5,5,5,130250842602129936.00,44766.92,100.00,218.57,-
50,1.0,0.1,0.1,99.30,84.03,15.38,2.60,-
50,1.0,0.1,1,898.43,892.80,0.63,2.46,-
50,1.0,0.1,2,21253.21,1030.13,95.15,10.89,-
50,1.0,0.1,5,755234446.09,666.43,100.00,9.04,-
50,1.0,1,0.1,115.76,99.42,14.12,2.08,-
50,1.0,1,1,8662.89,8661.71,0.01,2.60,-
50,1.0,1,2,2121786.14,10287.81,99.52,16.91,-
50,1.0,1,5,75523441038206.00,6624.36,100.00,21.91,-
50,1.0,2,0.1,121.50,104.34,14.12,2.37,-
50,1.0,2,1,17290.08,17289.27,0.00,2.60,-
50,1.0,2,2,8487037.45,20571.33,99.76,17.36,-
50,1.0,2,5,2416750113221485.50,13322.37,100.00,10.93,-
50,1.0,5,0.1,129.74,115.15,11.25,2.40,-
50,1.0,5,1,43171.64,43170.16,0.00,2.62,-
50,1.0,5,2,53043796.58,51496.79,99.90,27.62,-
50,1.0,5,5,236010753244282304.00,32570.31,100.00,98.90,-
100,0.1,0.1,0.1,514.09,308.42,40.01,3.70,-
100,0.1,0.1,1,3676.27,3623.12,1.45,5.59,-
100,0.1,0.1,2,75133.08,5286.31,92.96,17.21,-
100,0.1,0.1,5,2755357918.44,3833.07,100.00,18.87,-
100,0.1,1,0.1,607.34,338.30,44.30,3.60,-
100,0.1,1,1,35377.49,35324.34,0.15,4.80,-
100,0.1,1,2,7498070.53,52818.94,99.30,17.58,-
100,0.1,1,5,275535776452708.31,38246.49,100.00,18.74,-
100,0.1,2,0.1,639.89,378.49,40.85,4.11,-
100,0.1,2,1,70601.07,70547.92,0.08,5.23,-
100,0.1,2,2,29991820.36,105635.57,99.65,19.67,-
100,0.1,2,5,8817144846481893.00,76700.21,100.00,22.23,-
100,0.1,5,0.1,686.52,393.03,42.75,3.45,-
100,0.1,5,1,176271.80,176218.57,0.03,4.72,-
100,0.1,5,2,187448069.20,278358.49,99.85,27.52,-
100,0.1,5,5,861049301414232576.00,280452.34,100.00,318.84,-
100,0.2,0.1,0.1,391.98,246.38,37.14,3.56,-
100,0.2,0.1,1,2623.39,2592.10,1.19,4.80,-
100,0.2,0.1,2,53450.45,3598.26,93.27,18.08,-
100,0.2,0.1,5,1870881762.83,2523.99,100.00,19.42,-
100,0.2,1,0.1,465.64,294.01,36.86,3.61,-
100,0.2,1,1,25266.41,25235.11,0.12,4.95,-
